,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
680016,3792,2450,2,980434153,M,25,6,68108,Howard the Duck (1986),Adventure|Children's|Sci-Fi,False
685110,4745,1094,5,963249959,F,18,4,06268,"Crying Game, The (1992)",Drama|Romance|War,False
391662,6016,282,3,956959429,M,45,1,37209,Nell (1994),Drama,False
762893,4408,3422,2,965170562,F,45,2,19033,She's Gotta Have It (1986),Comedy|Romance,False
394840,5890,3298,4,957471283,M,35,20,77008,Boiler Room (2000),Drama,False
446588,4425,671,1,965108466,M,35,7,98607,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,False
850577,3955,3864,1,965673859,M,35,0,12831,Godzilla 2000 (Gojira ni-sen mireniamu) (1999),Action|Adventure|Sci-Fi,False
243865,1698,1617,4,974708031,M,35,2,97214,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,False
901964,3402,482,2,967728457,M,35,20,30306,Killing Zoe (1994),Thriller,False
645498,4644,2527,2,963978360,M,50,1,19481,Westworld (1973),Action|Sci-Fi|Thriller|Western,False
206283,1457,3168,4,983497598,M,25,1,95472,Easy Rider (1969),Adventure|Drama,False
315054,3525,2908,4,966977899,F,18,4,02142,Boys Don't Cry (1999),Drama,False
492812,157,2405,2,977249093,M,35,16,12866,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance,False
172207,4208,2943,4,965320987,F,35,0,90403,Indochine (1992),Drama|Romance,False
74278,3997,1687,3,965581676,M,35,17,45255,"Jackal, The (1997)",Action|Thriller,False
914850,1647,1363,3,1027847790,M,18,18,98118,"Preacher's Wife, The (1996)",Drama,False
714203,787,3896,4,975429689,M,18,4,77802,"Way of the Gun, The (2000)",Crime|Thriller,False
393091,1100,223,4,974924764,M,25,0,60090,Clerks (1994),Comedy,False
78224,1855,2881,3,974785871,M,18,4,93004,Double Jeopardy (1999),Action|Thriller,False
657119,2847,2141,2,1028958212,M,18,4,10027,"American Tail, An (1986)",Animation|Children's|Comedy,False
523328,4323,3247,3,965286575,M,18,4,82072,Sister Act (1992),Comedy|Crime,False
402271,2507,1060,3,974075786,M,25,4,94107,Swingers (1996),Comedy|Drama,False
506371,1687,2431,4,974711662,M,25,3,85013,Patch Adams (1998),Comedy|Drama,False
820032,58,1295,4,977938976,M,25,2,30303,"Unbearable Lightness of Being, The (1988)",Drama,False
788130,3562,3684,3,966787899,F,25,6,32812,"Fabulous Baker Boys, The (1989)",Drama|Romance,False
106838,2000,1873,4,983844733,M,18,4,44685,"Misérables, Les (1998)",Drama,False
365282,3416,161,4,967402064,M,25,12,20850,Crimson Tide (1995),Drama|Thriller|War,False
86559,3053,902,3,970170813,F,25,3,55102,Breakfast at Tiffany's (1961),Drama|Romance,False
985724,1559,2032,3,974741807,M,35,8,10014,"Barefoot Executive, The (1971)",Children's|Comedy,False
47350,1220,260,3,974838550,M,1,10,48073,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
849338,1447,3697,3,981020695,M,18,4,80521,Predator 2 (1990),Action|Sci-Fi|Thriller,False
150558,5931,1954,3,957227198,F,18,7,94111,Rocky (1976),Action|Drama,False
512242,3780,1200,5,966030701,M,1,0,46979,Aliens (1986),Action|Sci-Fi|Thriller|War,False
438893,2941,2640,3,971347882,M,35,12,98033,Superman (1978),Action|Adventure|Sci-Fi,False
598339,3693,1422,3,973556240,M,25,15,94062,Murder at 1600 (1997),Mystery|Thriller,False
406619,3684,3751,5,966351174,M,25,17,83713,Chicken Run (2000),Animation|Children's|Comedy,False
299046,3618,913,3,966597079,M,56,17,22657,"Maltese Falcon, The (1941)",Film-Noir|Mystery,False
307508,90,994,3,993872278,M,56,13,85749,Big Night (1996),Drama,False
770181,5172,1285,4,995329272,F,35,11,05602,Heathers (1989),Comedy,False
907895,1128,3134,4,974924091,M,25,1,72701,"Grand Illusion (Grande illusion, La) (1937)",Drama|War,False
431668,3163,3296,4,968870365,M,18,15,95616,To Sir with Love (1967),Drama,False
560408,5108,2076,4,962333197,F,25,9,93940,Blue Velvet (1986),Drama|Mystery,False
976190,5755,183,4,958266137,F,35,2,78744,Mute Witness (1994),Thriller,False
812143,2124,1235,4,974647215,M,25,0,12306,Harold and Maude (1971),Comedy,False
156539,4029,1090,4,965513708,F,56,3,21114,Platoon (1986),Drama|War,False
776722,2909,1021,3,971979363,M,25,7,43228,Angels in the Outfield (1994),Children's|Comedy,False
787282,4430,3248,1,965106027,F,25,0,94403,Sister Act 2: Back in the Habit (1993),Comedy,False
315030,3367,2908,5,971617278,M,50,16,10025,Boys Don't Cry (1999),Drama,False
722246,3834,3210,3,966399195,M,18,2,02322,Fast Times at Ridgemont High (1982),Comedy,False
59430,531,1246,4,994345718,F,18,14,22206,Dead Poets Society (1989),Drama,False
780962,4430,2412,1,965104077,F,25,0,94403,Rocky V (1990),Action|Drama,False
378930,4169,337,4,973309829,M,50,0,66048,What's Eating Gilbert Grape (1993),Drama,False
116177,3756,3699,5,966096802,M,18,12,53188,Starman (1984),Adventure|Drama|Romance|Sci-Fi,False
294289,5450,551,5,979149106,M,18,12,02143,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,False
497898,4823,3723,3,963277528,M,18,4,46219,Hamlet (1990),Drama,False
744746,996,1965,3,975053855,M,25,17,98102,Repo Man (1984),Comedy|Sci-Fi,False
163412,13,459,3,978202039,M,45,1,93304,"Getaway, The (1994)",Action,False
546560,5413,1230,5,967847998,M,35,1,59801,Annie Hall (1977),Comedy|Romance,False
980352,3391,3031,1,967660553,M,18,4,48135,Repossessed (1990),Comedy,False
982108,3336,1346,1,968097650,M,35,17,93436,Cat People (1982),Horror,False
662025,4765,2085,4,965513658,F,35,16,03301,101 Dalmatians (1961),Animation|Children's,False
254930,3600,377,3,966624323,M,35,20,94506,Speed (1994),Action|Romance|Thriller,False
566615,3540,788,3,968956498,M,18,17,57106,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,False
808744,2496,2747,3,974259469,M,50,1,37932,"Little Shop of Horrors, The (1960)",Comedy|Horror,False
507732,1181,3097,3,974948522,M,35,7,20716,"Shop Around the Corner, The (1940)",Comedy|Romance,False
541444,1937,2968,3,974851187,M,25,11,92335,Time Bandits (1981),Adventure|Fantasy|Sci-Fi,False
203337,3314,3552,5,967947862,M,25,7,06516,Caddyshack (1980),Comedy,False
713616,3029,2150,5,970366995,M,18,4,92037,"Gods Must Be Crazy, The (1980)",Comedy,False
542510,5699,2530,4,958619253,M,35,15,94706,Beneath the Planet of the Apes (1970),Action|Sci-Fi,False
117880,2820,480,1,972657641,F,35,0,02138,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
514504,1264,2005,4,974819506,M,25,1,53711,"Goonies, The (1985)",Adventure|Children's|Fantasy,False
667959,107,1956,3,977534249,M,45,18,63129,Ordinary People (1980),Drama,False
850084,4193,3196,3,965325800,M,56,13,93907,Stalag 17 (1953),Drama|War,False
888211,1354,2232,4,975458017,F,25,2,94040,Cube (1997),Sci-Fi|Thriller,False
225499,4327,1240,5,965243338,M,35,17,37221,"Terminator, The (1984)",Action|Sci-Fi|Thriller,False
864718,410,218,3,976289357,F,25,1,55417,Boys on the Side (1995),Comedy|Drama,False
270405,5424,2723,3,968009482,F,35,2,80012,Mystery Men (1999),Action|Adventure|Comedy,False
810186,3261,946,4,968937726,M,45,20,87505,To Be or Not to Be (1942),Comedy|Drama|War,False
592317,702,141,3,975565047,M,35,7,90808,"Birdcage, The (1996)",Comedy,False
502591,3993,3591,3,965589040,M,25,0,22015,Mr. Mom (1983),Comedy|Drama,False
887011,3993,2120,4,965699091,M,25,0,22015,Needful Things (1993),Drama|Horror,False
787803,3824,2950,1,966540990,M,25,17,32308,"Blue Lagoon, The (1980)",Adventure|Drama|Romance,False
797954,1077,1237,5,974938312,M,25,3,60660,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,False
88289,1812,1259,4,989183785,F,25,12,48103,Stand by Me (1986),Adventure|Comedy|Drama,False
623941,5795,2828,1,958062848,M,25,1,92688,Dudley Do-Right (1999),Children's|Comedy,False
873523,1983,575,1,976899739,M,25,14,92109,"Little Rascals, The (1994)",Children's|Comedy,False
746772,1030,2410,3,975000443,M,25,7,97303,Rocky III (1982),Action|Drama,False
751839,3416,3770,3,967400753,M,25,12,20850,Dreamscape (1984),Adventure|Crime|Sci-Fi|Thriller,False
669641,4682,3633,4,965521061,M,25,7,05346,On Her Majesty's Secret Service (1969),Action,False
192833,1632,1291,3,974715605,M,25,16,94120,Indiana Jones and the Last Crusade (1989),Action|Adventure,False
613444,1489,2389,3,974751667,F,35,2,60201,Psycho (1998),Crime|Horror|Thriller,False
190010,225,2997,4,976831462,M,25,7,11215,Being John Malkovich (1999),Comedy,False
364183,2498,230,4,974088972,M,56,18,70817,Dolores Claiborne (1994),Drama|Thriller,False
34368,4406,3186,3,966620669,M,25,16,80013,"Girl, Interrupted (1999)",Drama,False
240,844,1193,4,975356498,M,25,0,92121,One Flew Over the Cuckoo's Nest (1975),Drama,False
219781,1916,1387,5,974695149,M,45,7,90405,Jaws (1975),Action|Horror,False
339377,5986,2966,5,956889530,F,56,1,01060,"Straight Story, The (1999)",Drama,False
98344,5531,110,5,959620023,M,50,17,09056,Braveheart (1995),Action|Drama|War,False
986398,225,3716,1,976830373,M,25,7,11215,Fatal Beauty (1987),Action|Crime,False
377452,4819,1589,3,962922582,M,35,18,17350,Cop Land (1997),Crime|Drama|Mystery,False
716455,3773,2671,3,966045062,M,35,6,50265,Notting Hill (1999),Comedy|Romance,False
457289,314,2662,4,976752727,F,56,9,46911,"War of the Worlds, The (1953)",Action|Sci-Fi|War,False
151824,5111,235,5,962329817,M,35,2,78006,Ed Wood (1994),Comedy|Drama,False
771077,4445,3614,3,965088613,M,25,3,19806,Honeymoon in Vegas (1992),Comedy|Romance,False
580414,1939,3494,4,974692415,F,35,2,94930,True Grit (1969),Adventure|Western,False
269184,3822,1635,4,965943330,M,45,20,98027,"Ice Storm, The (1997)",Drama,False
924074,3380,1939,5,967586622,M,50,0,20815,"Best Years of Our Lives, The (1946)",Drama|War,False
503735,475,1125,4,976222066,F,25,2,55421,"Return of the Pink Panther, The (1974)",Comedy,False
585771,2092,3417,5,974680884,M,56,1,49006,"Crimson Pirate, The (1952)",Adventure|Comedy|Sci-Fi,False
290947,770,2890,4,976180758,M,18,4,98499,Three Kings (1999),Drama|War,False
56881,157,608,4,977247929,M,35,16,12866,Fargo (1996),Crime|Drama|Thriller,False
8239,157,1287,4,977248901,M,35,16,12866,Ben-Hur (1959),Action|Adventure|Drama,False
407116,889,3826,1,975249176,M,45,20,10024,Hollow Man (2000),Horror|Sci-Fi|Thriller,False
317616,1658,32,4,974712467,F,35,6,94214,Twelve Monkeys (1995),Drama|Sci-Fi,False
405097,5435,1358,5,960032742,M,45,18,02557,Sling Blade (1996),Drama|Thriller,False
44359,2975,1961,4,971021024,M,35,11,20879,Rain Man (1988),Drama,False
296008,2507,1517,4,974077912,M,25,4,94107,Austin Powers: International Man of Mystery (1997),Comedy,False
499416,6000,2423,5,956840361,M,45,17,30075,Christmas Vacation (1989),Comedy,False
724022,2857,3661,3,972505677,M,25,0,10469,Puppet Master II (1990),Horror|Sci-Fi|Thriller,False
150395,5113,1954,2,971973615,M,25,0,55408,Rocky (1976),Action|Drama,False
873687,5767,2050,4,958191586,M,25,2,75287,Herbie Goes Bananas (1980),Adventure|Children's|Comedy,False
138621,1094,2359,5,974929984,F,18,0,92626,Waking Ned Devine (1998),Comedy,False
318419,4918,32,3,963084316,F,18,12,84107,Twelve Monkeys (1995),Drama|Sci-Fi,False
701346,5992,2502,4,956865411,F,18,4,21046,Office Space (1999),Comedy|Romance,False
274565,1094,968,3,974929632,F,18,0,92626,Night of the Living Dead (1968),Horror|Sci-Fi,False
68726,1389,2916,4,974767633,M,25,17,19801,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
661499,3930,2083,4,965706291,M,56,3,52240,"Muppet Christmas Carol, The (1992)",Children's|Musical,False
525564,4238,3175,4,965309957,M,35,16,44691,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
96299,533,110,5,976207306,M,25,12,27514,Braveheart (1995),Action|Drama|War,False
783556,3651,1556,2,966464327,M,25,14,98103,Speed 2: Cruise Control (1997),Action|Romance|Thriller,False
710629,3868,1405,4,965856391,M,18,12,73112,Beavis and Butt-head Do America (1996),Animation|Comedy,False
795502,3475,2186,3,1015738441,M,25,14,33133,Strangers on a Train (1951),Film-Noir|Thriller,False
26903,2685,527,5,973376473,M,45,7,02116,Schindler's List (1993),Drama|War,False
264279,4506,1127,4,964983656,M,50,16,29464,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,False
409381,5148,2302,5,962014631,M,25,20,98101,My Cousin Vinny (1992),Comedy,False
954027,3957,2928,3,965673732,M,35,11,40242,"Razor's Edge, The (1984)",Drama,False
316875,3556,353,3,966807444,M,25,17,03038,"Crow, The (1994)",Action|Romance|Thriller,False
688856,4337,1327,3,965349318,M,18,20,76135,"Amityville Horror, The (1979)",Horror,False
680101,4802,2450,2,996116867,M,56,1,40601,Howard the Duck (1986),Adventure|Children's|Sci-Fi,False
968536,1279,3470,4,974797778,M,35,1,98502,Dersu Uzala (1974),Adventure|Drama,False
98447,5786,110,4,958143837,M,25,6,53211,Braveheart (1995),Action|Drama|War,False
211144,1974,1136,5,974687860,M,35,17,12159,Monty Python and the Holy Grail (1974),Comedy,False
465717,1021,1292,5,975008161,M,35,0,94559,Being There (1979),Comedy,False
686122,1243,1242,4,984616802,M,35,15,92627,Glory (1989),Action|Drama|War,False
948730,1203,328,1,998231783,F,25,1,06417,Tales From the Crypt Presents: Demon Knight (1995),Horror,False
60823,1285,3068,5,975457562,M,35,4,98125,"Verdict, The (1982)",Drama,False
750675,3914,3763,2,965795649,M,35,4,84123,F/X (1986),Action|Crime|Thriller,False
346637,2148,1380,4,974621452,F,18,0,81301,Grease (1978),Comedy|Musical|Romance,False
631198,4879,1284,4,962767648,M,25,3,60626,"Big Sleep, The (1946)",Film-Noir|Mystery,False
295711,949,1517,4,975225718,M,50,17,96753,Austin Powers: International Man of Mystery (1997),Comedy,False
692031,4401,2064,4,965159260,M,18,4,10027,Roger & Me (1989),Comedy|Documentary,False
384585,998,25,3,975192089,M,45,20,10019,Leaving Las Vegas (1995),Drama|Romance,False
325384,1207,1101,4,974915201,M,50,0,43617,Top Gun (1986),Action|Romance,False
447314,3312,1278,3,974410447,F,18,4,90039,Young Frankenstein (1974),Comedy|Horror,False
317102,5087,353,2,967345154,F,25,6,19102,"Crow, The (1994)",Action|Romance|Thriller,False
689727,4408,1258,5,965154300,F,45,2,19033,"Shining, The (1980)",Horror,False
115273,2586,1084,4,973869023,M,25,20,46802,Bonnie and Clyde (1967),Crime|Drama,False
898607,2010,358,3,974687212,M,18,4,81520,Higher Learning (1995),Drama,False
308657,4167,1885,3,965425303,M,25,20,22032,"Opposite of Sex, The (1998)",Comedy|Drama,False
498915,136,2423,3,977422972,M,18,2,21202,Christmas Vacation (1989),Comedy,False
684628,2389,1094,4,974300547,M,25,16,37922,"Crying Game, The (1992)",Drama|Romance|War,False
688070,4535,2990,3,964722277,M,18,19,17517,Licence to Kill (1989),Action,False
937093,5020,12,2,962583774,F,56,13,90241,Dracula: Dead and Loving It (1995),Comedy|Horror,False
287024,2214,908,4,974600903,F,25,1,46807,North by Northwest (1959),Drama|Thriller,False
883994,1422,534,4,976121266,M,35,17,55934,Shadowlands (1993),Drama|Romance,False
461331,5468,2161,3,967155791,M,25,12,94618,"NeverEnding Story, The (1984)",Adventure|Children's|Fantasy,False
358016,732,42,4,975495055,M,25,7,07030,Dead Presidents (1995),Action|Crime|Drama,False
579805,4279,10,3,965283074,M,25,16,43215,GoldenEye (1995),Action|Adventure|Thriller,False
174401,3177,318,5,968785679,F,25,6,94132,"Shawshank Redemption, The (1994)",Drama,False
100193,1016,1834,4,975009891,M,56,16,60044,"Spanish Prisoner, The (1997)",Drama|Thriller,False
33310,5049,745,5,962492840,M,25,12,60613,"Close Shave, A (1995)",Animation|Comedy|Thriller,False
257659,1150,1554,1,974873749,F,25,20,75226,"Pillow Book, The (1995)",Drama|Romance,False
196698,2842,1580,4,972548173,M,35,17,30145,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi,False
338416,1611,1947,4,985147112,M,25,0,03867,West Side Story (1961),Musical|Romance,False
28731,3579,48,3,966709673,M,18,0,32219,Pocahontas (1995),Animation|Children's|Musical|Romance,False
541821,4167,2968,5,965335435,M,25,20,22032,Time Bandits (1981),Adventure|Fantasy|Sci-Fi,False
605354,4958,1396,3,962634549,M,18,7,55403,Sneakers (1992),Crime|Drama|Sci-Fi,False
142548,5019,2571,2,962581921,M,25,7,10025,"Matrix, The (1999)",Action|Sci-Fi|Thriller,False
578004,2796,2641,2,997321291,M,25,14,92104,Superman II (1980),Action|Adventure|Sci-Fi,False
68836,1698,2916,2,974773182,M,35,2,97214,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
581314,5761,3070,5,982012470,M,25,20,90048,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi,False
617368,3546,2391,4,968005054,M,25,20,41706,"Simple Plan, A (1998)",Crime|Thriller,False
423850,4123,2054,3,965357032,F,25,4,46807,"Honey, I Shrunk the Kids (1989)",Adventure|Children's|Comedy|Fantasy|Sci-Fi,False
626105,924,1179,4,975201195,M,50,17,98642,"Grifters, The (1990)",Crime|Drama|Film-Noir,False
956437,2215,1647,2,974602132,F,25,0,93940,Playing God (1997),Crime|Thriller,False
569634,5972,441,4,963614657,F,25,20,55428,Dazed and Confused (1993),Comedy,False
239439,4726,47,4,963986611,F,35,16,95828,Seven (Se7en) (1995),Crime|Thriller,False
469566,2063,333,2,975362093,M,25,4,43138,Tommy Boy (1995),Comedy,False
47412,1344,260,4,974774404,F,25,9,43420,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,False
443442,2188,1271,3,974613159,F,18,19,60641,Fried Green Tomatoes (1991),Drama,False
589255,1285,2243,5,975457736,M,35,4,98125,Broadcast News (1987),Comedy|Drama|Romance,False
333844,3687,3604,5,966319430,F,50,1,62221,Gypsy (1962),Musical,False
144194,236,2396,4,976765152,M,25,5,55126,Shakespeare in Love (1998),Comedy|Romance,False
22297,3065,2321,4,970002026,F,18,4,48135,Pleasantville (1998),Comedy,False
648589,4490,2613,1,965009027,M,35,5,70123,Night of the Comet (1984),Action|Horror|Sci-Fi,False
69151,2764,2916,4,973137796,M,25,7,91403,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
108665,2781,2858,5,973019423,M,35,4,45205,American Beauty (1999),Comedy|Drama,False
710526,2645,1405,3,973561654,M,25,7,60657,Beavis and Butt-head Do America (1996),Animation|Comedy,False
240449,3559,2700,5,966796267,M,18,4,11364,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy,False
411983,1186,1584,2,974850974,M,18,19,98502,Contact (1997),Drama|Sci-Fi,False
204725,4081,1304,4,965440699,M,18,12,19403,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western,False
975715,749,970,2,1014716265,M,35,18,56303,Beat the Devil (1954),Comedy|Drama,False
90266,3848,3147,5,965879484,M,25,15,70809-2612,"Green Mile, The (1999)",Drama|Thriller,False
401096,1912,529,3,994227759,M,25,4,91325,Searching for Bobby Fischer (1993),Drama,False
797228,1916,528,5,974690525,M,45,7,90405,"Scout, The (1994)",Drama,False
413985,1087,3623,2,976132500,M,25,16,08826,Mission: Impossible 2 (2000),Action|Thriller,False
490859,5099,858,4,962366754,M,18,0,02780,"Godfather, The (1972)",Action|Crime|Drama,False
774425,5972,413,3,963615287,F,25,20,55428,Airheads (1994),Comedy,False
871566,4238,1969,2,965416757,M,35,16,44691,"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)",Horror,False
629632,2781,164,4,973019172,M,35,4,45205,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,False
628120,131,1185,5,977431494,M,18,4,06520,My Left Foot (1989),Drama,False
152874,4867,1957,3,962891699,M,25,16,04101,Chariots of Fire (1981),Drama,False
562537,5596,1288,5,959219198,M,35,12,22201,This Is Spinal Tap (1984),Comedy|Drama|Musical,False
769668,1298,1285,4,974835461,M,35,6,33615,Heathers (1989),Comedy,False
471755,858,2174,3,975343822,M,35,14,10013,Beetlejuice (1988),Comedy|Fantasy,False
172392,720,2006,3,975530188,M,18,0,55129,"Mask of Zorro, The (1998)",Action|Adventure|Romance,False
828766,844,2467,4,975360434,M,25,0,92121,"Name of the Rose, The (1986)",Mystery,False
557034,1803,2710,3,974706167,M,25,2,50021,"Blair Witch Project, The (1999)",Horror,False
364387,6000,230,3,956881922,M,45,17,30075,Dolores Claiborne (1994),Drama|Thriller,False
953982,5831,3497,3,957897336,M,25,1,92120,Max Dugan Returns (1983),Comedy,False
90982,1112,1544,3,974947471,M,18,6,19104,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,False
